Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD0001,2024-10-24,2024-10-28,CUST094,Customer 34,Consumer,North,Furniture,Tables,Tables Product 6,1468.79,4,0.02,291.18
ORD0002,2023-03-14,2023-03-20,CUST085,Customer 61,Corporate,North,Technology,Phones,Phones Product 23,1661.23,10,0.06,140.34
ORD0003,2024-02-08,2024-02-09,CUST054,Customer 85,Consumer,North,Technology,Laptops,Laptops Product 46,379.47,4,0.05,72.31
ORD0004,2023-08-26,2023-09-01,CUST005,Customer 85,Home Office,North,Furniture,Bookcases,Bookcases Product 28,758.75,5,0.17,210.67
ORD0005,2023-01-09,2023-01-12,CUST054,Customer 14,Corporate,North,Office Supplies,Paper,Paper Product 4,662.91,7,0.02,161.37
ORD0006,2023-06-07,2023-06-09,CUST093,Customer 55,Corporate,North,Technology,Phones,Phones Product 13,282.3,3,0.11,74.38
ORD0007,2023-04-06,2023-04-12,CUST001,Customer 31,Corporate,North,Furniture,Bookcases,Bookcases Product 33,1064.05,3,0.02,148.52
ORD0008,2024-01-29,2024-02-04,CUST071,Customer 57,Home Office,East,Office Supplies,Binders,Binders Product 34,1718.16,9,0.26,491.35
ORD0009,2024-04-11,2024-04-15,CUST065,Customer 7,Consumer,East,Office Supplies,Binders,Binders Product 9,705.76,9,0.28,138.59
ORD0010,2024-03-28,2024-04-02,CUST015,Customer 75,Corporate,East,Office Supplies,Storage,Storage Product 24,454.15,5,0.19,50.64
ORD0011,2023-08-08,2023-08-12,CUST033,Customer 48,Corporate,South,Technology,Phones,Phones Product 26,1356.97,1,0.18,291.34
ORD0012,2024-12-29,2025-01-03,CUST052,Customer 95,Corporate,South,Office Supplies,Storage,Storage Product 1,1289.09,3,0.03,195.93
ORD0013,2024-08-22,2024-08-23,CUST013,Customer 30,Home Office,West,Technology,Laptops,Laptops Product 20,1139.29,7,0.28,74.25
ORD0014,2023-09-30,2023-10-03,CUST032,Customer 40,Consumer,West,Technology,Accessories,Accessories Product 12,1722.55,10,0.05,412.31
ORD0015,2024-07-30,2024-08-01,CUST065,Customer 34,Corporate,West,Furniture,Bookcases,Bookcases Product 50,1512.26,1,0.09,271.72
ORD0016,2023-02-26,2023-02-27,CUST036,Customer 29,Corporate,North,Office Supplies,Binders,Binders Product 14,870.63,1,0.29,234.24
ORD0017,2024-08-13,2024-08-18,CUST020,Customer 58,Corporate,East,Technology,Accessories,Accessories Product 24,858.44,8,0.2,245.48
ORD0018,2024-08-09,2024-08-11,CUST098,Customer 85,Corporate,South,Technology,Phones,Phones Product 18,488.52,10,0.26,103.34
ORD0019,2023-02-17,2023-02-23,CUST087,Customer 65,Home Office,South,Office Supplies,Paper,Paper Product 7,119.29,9,0.15,12.72
ORD0020,2024-01-17,2024-01-24,CUST024,Customer 100,Home Office,West,Office Supplies,Binders,Binders Product 3,365.88,6,0.22,48.09
ORD0021,2023-07-19,2023-07-24,CUST002,Customer 42,Corporate,South,Furniture,Chairs,Chairs Product 1,1942.09,6,0.09,441.64
ORD0022,2024-04-16,2024-04-23,CUST097,Customer 97,Corporate,West,Technology,Accessories,Accessories Product 36,1444.0,3,0.03,430.43
ORD0023,2024-08-24,2024-08-28,CUST009,Customer 99,Consumer,South,Furniture,Chairs,Chairs Product 43,1548.95,5,0.07,376.75
ORD0024,2023-01-13,2023-01-18,CUST074,Customer 50,Home Office,West,Furniture,Bookcases,Bookcases Product 24,1385.32,2,0.21,114.76
ORD0025,2023-01-22,2023-01-29,CUST055,Customer 38,Consumer,North,Office Supplies,Paper,Paper Product 35,377.48,8,0.09,86.92
ORD0026,2024-11-09,2024-11-11,CUST021,Customer 53,Consumer,South,Technology,Phones,Phones Product 5,821.25,1,0.22,113.68
ORD0027,2024-12-27,2025-01-03,CUST096,Customer 83,Consumer,North,Furniture,Chairs,Chairs Product 24,1204.72,8,0.12,181.66
ORD0028,2024-09-22,2024-09-25,CUST066,Customer 30,Corporate,West,Office Supplies,Storage,Storage Product 28,612.27,5,0.12,123.67
ORD0029,2024-07-03,2024-07-07,CUST075,Customer 9,Consumer,North,Office Supplies,Binders,Binders Product 1,1623.56,7,0.3,211.21
ORD0030,2023-04-28,2023-05-03,CUST075,Customer 20,Consumer,South,Furniture,Chairs,Chairs Product 48,1033.4,3,0.11,275.34
ORD0031,2024-10-03,2024-10-07,CUST016,Customer 43,Home Office,North,Office Supplies,Storage,Storage Product 46,411.51,4,0.2,90.69
ORD0032,2023-10-11,2023-10-15,CUST039,Customer 11,Corporate,North,Office Supplies,Binders,Binders Product 38,1813.75,7,0.03,288.43
ORD0033,2024-03-02,2024-03-09,CUST042,Customer 85,Home Office,East,Technology,Accessories,Accessories Product 32,1345.51,1,0.28,185.83
ORD0034,2024-04-09,2024-04-11,CUST058,Customer 81,Consumer,North,Technology,Phones,Phones Product 39,1948.96,10,0.24,136.44
ORD0035,2024-04-18,2024-04-21,CUST076,Customer 12,Home Office,North,Technology,Phones,Phones Product 32,538.56,8,0.04,129.55
ORD0036,2024-06-20,2024-06-24,CUST008,Customer 6,Consumer,South,Office Supplies,Binders,Binders Product 31,1413.13,7,0.28,144.79
ORD0037,2024-10-13,2024-10-16,CUST079,Customer 38,Home Office,North,Furniture,Chairs,Chairs Product 6,768.75,1,0.24,118.6
ORD0038,2023-01-25,2023-02-01,CUST016,Customer 40,Consumer,South,Technology,Laptops,Laptops Product 17,1989.45,2,0.08,135.53
ORD0039,2024-08-15,2024-08-22,CUST096,Customer 59,Home Office,West,Office Supplies,Paper,Paper Product 13,58.37,3,0.11,12.61
ORD0040,2024-12-30,2024-12-31,CUST018,Customer 70,Corporate,South,Technology,Laptops,Laptops Product 5,968.34,7,0.06,154.32
ORD0041,2023-12-30,2023-12-31,CUST074,Customer 2,Corporate,East,Office Supplies,Paper,Paper Product 13,639.42,5,0.15,140.1
ORD0042,2024-05-08,2024-05-14,CUST030,Customer 92,Consumer,South,Furniture,Bookcases,Bookcases Product 22,1160.31,10,0.08,309.69
ORD0043,2024-06-10,2024-06-16,CUST027,Customer 22,Corporate,South,Furniture,Tables,Tables Product 20,777.31,3,0.16,171.09
ORD0044,2024-03-24,2024-03-27,CUST066,Customer 52,Consumer,South,Furniture,Chairs,Chairs Product 30,64.76,4,0.13,11.11
ORD0045,2024-06-08,2024-06-11,CUST019,Customer 19,Home Office,North,Technology,Phones,Phones Product 40,1903.14,2,0.24,536.65
ORD0046,2024-03-11,2024-03-14,CUST044,Customer 21,Consumer,West,Furniture,Chairs,Chairs Product 3,103.22,9,0.06,9.17
ORD0047,2023-02-04,2023-02-05,CUST015,Customer 13,Consumer,South,Furniture,Tables,Tables Product 9,900.05,9,0.18,48.89
ORD0048,2023-08-23,2023-08-30,CUST012,Customer 87,Consumer,South,Technology,Accessories,Accessories Product 23,831.99,9,0.02,191.04
ORD0049,2024-04-05,2024-04-09,CUST025,Customer 5,Consumer,East,Office Supplies,Binders,Binders Product 49,1940.88,9,0.1,138.28
ORD0050,2024-09-03,2024-09-04,CUST006,Customer 10,Corporate,North,Office Supplies,Storage,Storage Product 3,805.46,2,0.24,174.25
ORD0051,2023-07-26,2023-07-30,CUST031,Customer 79,Corporate,West,Furniture,Bookcases,Bookcases Product 23,1132.57,2,0.05,325.32
ORD0052,2024-10-14,2024-10-20,CUST035,Customer 6,Corporate,West,Technology,Phones,Phones Product 7,1965.42,3,0.05,230.0
ORD0053,2024-05-30,2024-05-31,CUST027,Customer 17,Corporate,North,Office Supplies,Binders,Binders Product 25,1772.38,8,0.01,300.54
ORD0054,2024-09-01,2024-09-05,CUST026,Customer 42,Corporate,East,Office Supplies,Paper,Paper Product 49,65.16,5,0.16,4.78
ORD0055,2024-01-31,2024-02-02,CUST053,Customer 52,Home Office,West,Furniture,Bookcases,Bookcases Product 44,412.9,7,0.29,96.93
ORD0056,2023-02-23,2023-03-01,CUST012,Customer 26,Home Office,South,Technology,Accessories,Accessories Product 33,1659.94,5,0.2,350.24
ORD0057,2023-12-08,2023-12-14,CUST085,Customer 23,Home Office,East,Furniture,Bookcases,Bookcases Product 26,1879.34,4,0.09,455.59
ORD0058,2024-01-20,2024-01-23,CUST017,Customer 58,Home Office,East,Furniture,Bookcases,Bookcases Product 31,1323.42,3,0.26,239.97
ORD0059,2024-08-02,2024-08-04,CUST018,Customer 75,Corporate,South,Furniture,Chairs,Chairs Product 50,672.98,1,0.2,138.99
ORD0060,2023-03-21,2023-03-27,CUST050,Customer 44,Home Office,North,Technology,Phones,Phones Product 48,612.39,8,0.23,82.75
ORD0061,2024-08-29,2024-09-01,CUST075,Customer 40,Consumer,North,Furniture,Bookcases,Bookcases Product 20,1479.21,9,0.17,427.36
ORD0062,2024-09-27,2024-09-30,CUST081,Customer 4,Home Office,West,Furniture,Tables,Tables Product 9,1527.47,5,0.15,411.77
ORD0063,2023-05-02,2023-05-03,CUST024,Customer 21,Consumer,East,Office Supplies,Binders,Binders Product 41,1130.49,1,0.18,159.7
ORD0064,2024-11-23,2024-11-30,CUST038,Customer 3,Corporate,West,Office Supplies,Binders,Binders Product 22,1240.54,5,0.17,124.02
ORD0065,2023-11-11,2023-11-16,CUST015,Customer 20,Consumer,South,Technology,Accessories,Accessories Product 21,197.65,3,0.17,53.07
ORD0066,2024-01-31,2024-02-02,CUST099,Customer 81,Corporate,East,Furniture,Bookcases,Bookcases Product 30,674.41,6,0.15,105.09
ORD0067,2023-11-10,2023-11-17,CUST081,Customer 53,Corporate,North,Office Supplies,Binders,Binders Product 27,1487.79,1,0.27,278.6
ORD0068,2023-01-03,2023-01-09,CUST057,Customer 85,Home Office,North,Furniture,Tables,Tables Product 33,251.68,5,0.18,43.96
ORD0069,2024-04-08,2024-04-11,CUST088,Customer 38,Corporate,West,Office Supplies,Binders,Binders Product 3,1057.12,10,0.11,161.63
ORD0070,2023-02-21,2023-02-23,CUST066,Customer 7,Consumer,East,Furniture,Tables,Tables Product 29,328.12,2,0.15,75.22
ORD0071,2023-07-17,2023-07-22,CUST020,Customer 57,Home Office,North,Technology,Phones,Phones Product 7,1670.09,4,0.21,129.39
ORD0072,2024-08-01,2024-08-07,CUST085,Customer 17,Consumer,East,Furniture,Bookcases,Bookcases Product 22,804.81,4,0.22,44.98
ORD0073,2023-08-07,2023-08-13,CUST002,Customer 14,Corporate,South,Office Supplies,Paper,Paper Product 34,674.43,7,0.17,198.67
ORD0074,2024-06-15,2024-06-17,CUST046,Customer 54,Home Office,West,Office Supplies,Binders,Binders Product 4,739.95,5,0.19,68.58
ORD0075,2023-09-10,2023-09-17,CUST044,Customer 56,Home Office,South,Furniture,Chairs,Chairs Product 47,561.83,4,0.17,162.47
ORD0076,2023-08-27,2023-08-29,CUST082,Customer 25,Consumer,East,Technology,Phones,Phones Product 21,1863.27,10,0.18,166.84
ORD0077,2023-07-06,2023-07-12,CUST010,Customer 46,Consumer,East,Office Supplies,Paper,Paper Product 28,1285.52,1,0.01,157.42
ORD0078,2023-09-09,2023-09-12,CUST015,Customer 10,Corporate,West,Furniture,Chairs,Chairs Product 13,156.92,2,0.25,18.06
ORD0079,2024-09-16,2024-09-19,CUST027,Customer 52,Consumer,South,Office Supplies,Binders,Binders Product 30,1372.69,3,0.07,323.81
ORD0080,2024-09-13,2024-09-15,CUST002,Customer 82,Home Office,West,Furniture,Bookcases,Bookcases Product 1,755.07,7,0.1,209.72
ORD0081,2023-08-09,2023-08-10,CUST013,Customer 44,Corporate,South,Technology,Laptops,Laptops Product 31,889.41,4,0.25,243.08
ORD0082,2024-01-03,2024-01-04,CUST045,Customer 37,Home Office,South,Office Supplies,Storage,Storage Product 5,1018.24,8,0.16,157.67
ORD0083,2023-02-12,2023-02-18,CUST076,Customer 39,Consumer,East,Furniture,Tables,Tables Product 23,89.07,8,0.15,17.34
ORD0084,2023-04-01,2023-04-06,CUST074,Customer 91,Corporate,South,Office Supplies,Storage,Storage Product 20,1142.83,5,0.29,224.48
ORD0085,2024-05-28,2024-06-04,CUST090,Customer 99,Corporate,North,Technology,Laptops,Laptops Product 15,554.35,9,0.16,76.41
ORD0086,2024-10-22,2024-10-29,CUST016,Customer 49,Corporate,West,Furniture,Bookcases,Bookcases Product 5,66.45,6,0.05,17.7
ORD0087,2024-08-17,2024-08-23,CUST066,Customer 83,Home Office,South,Furniture,Chairs,Chairs Product 46,188.81,10,0.1,21.81
ORD0088,2023-02-04,2023-02-05,CUST037,Customer 15,Consumer,West,Technology,Accessories,Accessories Product 22,1796.12,8,0.27,383.49
ORD0089,2024-07-27,2024-08-01,CUST003,Customer 58,Consumer,North,Technology,Accessories,Accessories Product 7,1479.1,10,0.1,141.96
ORD0090,2024-02-28,2024-03-04,CUST069,Customer 5,Consumer,East,Technology,Phones,Phones Product 27,1972.53,8,0.22,545.97
ORD0091,2024-04-04,2024-04-07,CUST030,Customer 46,Consumer,East,Office Supplies,Paper,Paper Product 15,299.84,7,0.17,84.11
ORD0092,2023-10-13,2023-10-20,CUST030,Customer 8,Home Office,West,Office Supplies,Paper,Paper Product 5,451.32,1,0.19,91.72
ORD0093,2024-02-04,2024-02-07,CUST041,Customer 63,Corporate,South,Office Supplies,Paper,Paper Product 9,607.14,5,0.09,30.91
ORD0094,2023-03-05,2023-03-07,CUST077,Customer 23,Consumer,East,Technology,Accessories,Accessories Product 27,488.92,6,0.01,125.69
ORD0095,2023-06-20,2023-06-23,CUST037,Customer 83,Corporate,West,Furniture,Chairs,Chairs Product 39,1148.26,10,0.14,250.96
ORD0096,2023-08-06,2023-08-08,CUST024,Customer 82,Corporate,South,Office Supplies,Storage,Storage Product 41,295.55,8,0.05,71.43
ORD0097,2024-04-11,2024-04-15,CUST020,Customer 56,Home Office,East,Technology,Laptops,Laptops Product 43,792.57,8,0.17,124.56
ORD0098,2024-01-24,2024-01-29,CUST077,Customer 23,Corporate,North,Office Supplies,Binders,Binders Product 33,1081.07,5,0.07,222.09
ORD0099,2024-06-24,2024-07-01,CUST030,Customer 40,Home Office,South,Office Supplies,Paper,Paper Product 28,1268.82,8,0.23,94.33
ORD0100,2023-06-21,2023-06-22,CUST023,Customer 93,Home Office,North,Furniture,Tables,Tables Product 36,818.09,3,0.03,87.17
ORD0101,2024-12-25,2024-12-30,CUST095,Customer 23,Home Office,West,Technology,Phones,Phones Product 19,280.97,5,0.17,62.33
ORD0102,2024-11-20,2024-11-24,CUST005,Customer 64,Home Office,East,Furniture,Tables,Tables Product 9,562.63,4,0.1,71.71
ORD0103,2023-10-09,2023-10-11,CUST060,Customer 96,Home Office,South,Furniture,Tables,Tables Product 5,908.39,9,0.27,269.27
ORD0104,2024-02-12,2024-02-13,CUST085,Customer 15,Consumer,North,Furniture,Tables,Tables Product 37,676.35,8,0.27,107.05
ORD0105,2024-10-05,2024-10-09,CUST089,Customer 54,Consumer,North,Furniture,Chairs,Chairs Product 35,1658.56,8,0.12,304.58
ORD0106,2024-11-11,2024-11-16,CUST003,Customer 44,Consumer,West,Office Supplies,Storage,Storage Product 13,1136.07,10,0.1,70.21
ORD0107,2023-09-28,2023-09-30,CUST100,Customer 35,Consumer,North,Furniture,Tables,Tables Product 36,1316.87,9,0.22,303.03
ORD0108,2024-03-10,2024-03-16,CUST044,Customer 46,Consumer,West,Technology,Phones,Phones Product 3,1105.62,8,0.2,311.83
ORD0109,2023-10-24,2023-10-28,CUST071,Customer 62,Home Office,North,Technology,Accessories,Accessories Product 31,1574.68,1,0.23,79.75
ORD0110,2024-01-03,2024-01-06,CUST081,Customer 39,Corporate,West,Furniture,Tables,Tables Product 31,918.66,6,0.18,205.44
ORD0111,2023-02-23,2023-02-27,CUST028,Customer 56,Home Office,South,Furniture,Tables,Tables Product 9,1010.6,10,0.06,109.44
ORD0112,2023-11-07,2023-11-09,CUST040,Customer 100,Home Office,West,Office Supplies,Binders,Binders Product 46,385.69,5,0.15,94.71
ORD0113,2023-11-21,2023-11-24,CUST067,Customer 66,Consumer,South,Office Supplies,Storage,Storage Product 25,1132.05,10,0.3,257.27
ORD0114,2024-08-09,2024-08-11,CUST023,Customer 25,Home Office,East,Technology,Laptops,Laptops Product 14,729.73,1,0.19,41.71
ORD0115,2023-03-15,2023-03-17,CUST100,Customer 74,Consumer,East,Furniture,Bookcases,Bookcases Product 2,159.64,2,0.18,40.56
ORD0116,2024-01-28,2024-02-01,CUST095,Customer 60,Corporate,North,Office Supplies,Binders,Binders Product 49,586.57,8,0.07,151.34
ORD0117,2023-12-19,2023-12-20,CUST003,Customer 38,Home Office,South,Office Supplies,Storage,Storage Product 40,92.56,9,0.01,26.62
ORD0118,2024-01-08,2024-01-14,CUST015,Customer 76,Home Office,East,Furniture,Chairs,Chairs Product 50,552.4,5,0.16,154.09
ORD0119,2023-08-07,2023-08-14,CUST038,Customer 77,Corporate,East,Technology,Phones,Phones Product 45,1045.87,5,0.02,283.04
ORD0120,2024-11-02,2024-11-09,CUST036,Customer 3,Consumer,South,Technology,Phones,Phones Product 22,261.28,2,0.27,59.88
ORD0121,2024-09-22,2024-09-23,CUST007,Customer 98,Consumer,West,Furniture,Chairs,Chairs Product 14,1856.82,4,0.19,432.74
ORD0122,2023-01-09,2023-01-11,CUST088,Customer 40,Home Office,West,Office Supplies,Storage,Storage Product 2,941.0,5,0.08,110.01
ORD0123,2024-08-09,2024-08-13,CUST067,Customer 8,Corporate,East,Technology,Accessories,Accessories Product 27,1926.32,9,0.29,415.04
ORD0124,2023-02-13,2023-02-14,CUST070,Customer 20,Corporate,North,Office Supplies,Paper,Paper Product 34,1559.01,8,0.22,86.23
ORD0125,2023-07-07,2023-07-10,CUST096,Customer 96,Consumer,East,Technology,Phones,Phones Product 46,1784.16,6,0.24,128.61
ORD0126,2024-04-09,2024-04-11,CUST011,Customer 20,Corporate,North,Technology,Accessories,Accessories Product 17,1583.02,1,0.24,471.81
ORD0127,2024-12-15,2024-12-17,CUST071,Customer 68,Home Office,West,Office Supplies,Binders,Binders Product 25,108.69,3,0.24,21.74
ORD0128,2023-01-19,2023-01-25,CUST062,Customer 95,Corporate,West,Technology,Phones,Phones Product 39,1947.06,8,0.06,298.04
ORD0129,2024-09-17,2024-09-23,CUST069,Customer 43,Consumer,North,Technology,Accessories,Accessories Product 19,1015.63,8,0.24,256.96
ORD0130,2024-12-01,2024-12-05,CUST067,Customer 72,Home Office,East,Office Supplies,Paper,Paper Product 27,659.96,9,0.19,136.13
ORD0131,2024-04-15,2024-04-19,CUST049,Customer 19,Corporate,South,Technology,Laptops,Laptops Product 32,1678.9,8,0.24,182.07
ORD0132,2023-12-08,2023-12-10,CUST078,Customer 37,Consumer,South,Technology,Accessories,Accessories Product 36,803.12,5,0.02,198.95
ORD0133,2024-03-13,2024-03-16,CUST020,Customer 13,Home Office,West,Technology,Phones,Phones Product 15,1323.21,8,0.27,392.5
ORD0134,2023-04-29,2023-05-06,CUST058,Customer 23,Consumer,South,Furniture,Chairs,Chairs Product 45,905.73,7,0.13,241.09
ORD0135,2023-11-13,2023-11-18,CUST082,Customer 68,Consumer,South,Furniture,Chairs,Chairs Product 2,1770.98,4,0.2,469.84
ORD0136,2024-03-02,2024-03-06,CUST093,Customer 63,Consumer,West,Office Supplies,Paper,Paper Product 44,1102.23,6,0.02,211.03
ORD0137,2024-09-11,2024-09-12,CUST003,Customer 3,Home Office,East,Technology,Laptops,Laptops Product 49,1449.96,3,0.07,258.93
ORD0138,2024-05-20,2024-05-24,CUST081,Customer 94,Home Office,East,Furniture,Tables,Tables Product 2,550.22,10,0.06,95.01
ORD0139,2023-03-12,2023-03-15,CUST095,Customer 35,Corporate,North,Technology,Laptops,Laptops Product 16,1737.64,10,0.28,257.98
ORD0140,2024-09-18,2024-09-24,CUST054,Customer 82,Consumer,South,Office Supplies,Binders,Binders Product 3,742.16,10,0.3,113.05
ORD0141,2023-11-11,2023-11-14,CUST060,Customer 41,Corporate,South,Office Supplies,Binders,Binders Product 45,885.12,2,0.02,219.75
ORD0142,2023-08-18,2023-08-22,CUST054,Customer 1,Corporate,East,Office Supplies,Storage,Storage Product 32,980.23,4,0.28,247.33
ORD0143,2024-02-28,2024-03-06,CUST025,Customer 57,Home Office,South,Technology,Accessories,Accessories Product 23,651.31,2,0.13,38.27
ORD0144,2023-10-08,2023-10-13,CUST083,Customer 37,Corporate,East,Technology,Phones,Phones Product 4,1538.48,5,0.12,359.8
ORD0145,2023-09-21,2023-09-25,CUST077,Customer 88,Home Office,East,Technology,Laptops,Laptops Product 37,1299.69,1,0.0,126.54
ORD0146,2024-09-16,2024-09-23,CUST040,Customer 33,Consumer,North,Office Supplies,Storage,Storage Product 30,664.59,7,0.2,120.35
ORD0147,2023-11-03,2023-11-08,CUST059,Customer 91,Consumer,South,Technology,Accessories,Accessories Product 31,1801.28,9,0.09,331.19
ORD0148,2023-03-06,2023-03-08,CUST026,Customer 23,Home Office,West,Technology,Accessories,Accessories Product 26,733.32,10,0.28,99.99
ORD0149,2023-04-11,2023-04-17,CUST071,Customer 38,Consumer,North,Furniture,Tables,Tables Product 34,1173.0,8,0.15,91.44
ORD0150,2023-10-20,2023-10-22,CUST087,Customer 3,Consumer,East,Office Supplies,Paper,Paper Product 47,1442.1,10,0.12,253.82
ORD0151,2023-12-02,2023-12-09,CUST032,Customer 38,Home Office,East,Office Supplies,Storage,Storage Product 17,257.71,3,0.03,48.05
ORD0152,2024-02-15,2024-02-21,CUST055,Customer 63,Corporate,East,Office Supplies,Binders,Binders Product 49,1863.55,7,0.06,401.27
ORD0153,2024-12-31,2025-01-07,CUST004,Customer 43,Corporate,West,Technology,Laptops,Laptops Product 30,1959.29,1,0.09,110.41
ORD0154,2024-11-07,2024-11-10,CUST077,Customer 98,Corporate,West,Office Supplies,Binders,Binders Product 13,522.46,9,0.26,132.45
ORD0155,2023-03-28,2023-04-04,CUST016,Customer 98,Consumer,East,Office Supplies,Storage,Storage Product 24,1847.09,3,0.21,240.77
ORD0156,2024-10-25,2024-10-29,CUST068,Customer 96,Corporate,West,Office Supplies,Binders,Binders Product 27,1873.06,5,0.15,250.5
ORD0157,2023-08-31,2023-09-05,CUST100,Customer 33,Corporate,North,Furniture,Chairs,Chairs Product 50,1948.06,1,0.13,185.59
ORD0158,2024-11-16,2024-11-18,CUST084,Customer 97,Home Office,West,Office Supplies,Paper,Paper Product 38,438.3,6,0.03,120.71
ORD0159,2024-02-15,2024-02-18,CUST012,Customer 11,Corporate,South,Technology,Accessories,Accessories Product 12,1525.09,8,0.16,166.63
ORD0160,2023-12-29,2023-12-31,CUST037,Customer 47,Home Office,East,Furniture,Chairs,Chairs Product 37,1100.78,1,0.0,298.3
ORD0161,2023-09-29,2023-10-02,CUST065,Customer 81,Corporate,North,Furniture,Bookcases,Bookcases Product 14,753.21,5,0.3,173.0
ORD0162,2024-05-21,2024-05-27,CUST020,Customer 22,Consumer,South,Technology,Laptops,Laptops Product 15,447.51,7,0.21,66.03
ORD0163,2023-08-27,2023-09-02,CUST055,Customer 91,Consumer,East,Furniture,Chairs,Chairs Product 20,366.58,9,0.2,67.28
ORD0164,2024-06-25,2024-06-27,CUST072,Customer 32,Corporate,West,Furniture,Chairs,Chairs Product 42,110.23,4,0.22,18.17
ORD0165,2024-03-04,2024-03-08,CUST096,Customer 34,Home Office,East,Office Supplies,Storage,Storage Product 8,105.5,1,0.1,12.6
